date,year_month,year,month,day_of_week,member_casual,ride_length
2021-05-31,2021 May,2021,May,Monday,member,758100
2020-11-02,2020 November,2020,November,Monday,member,374520
2020-11-09,2020 November,2020,November,Monday,member,594900
2020-11-16,2020 November,2020,November,Monday,member,298080
2020-11-23,2020 November,2020,November,Monday,member,323160
2020-11-30,2020 November,2020,November,Monday,member,165120
2020-10-05,2020 October,2020,October,Monday,member,529140
2020-10-12,2020 October,2020,October,Monday,member,402540
2020-10-19,2020 October,2020,October,Monday,member,288060
2020-10-26,2020 October,2020,October,Monday,member,287700
2020-09-07,2020 September,2020,September,Monday,member,876900
2020-09-14,2020 September,2020,September,Monday,member,643680
2020-09-21,2020 September,2020,September,Monday,member,738240
2020-09-28,2020 September,2020,September,Monday,member,457500
2021-04-03,2021 April,2021,April,Saturday,member,757440
2021-04-10,2021 April,2021,April,Saturday,member,221460
2021-04-17,2021 April,2021,April,Saturday,member,596880
2021-04-24,2021 April,2021,April,Saturday,member,621060
2021-08-07,2021 August,2021,August,Saturday,member,905400
2021-08-14,2021 August,2021,August,Saturday,member,1208100
2021-08-21,2021 August,2021,August,Saturday,member,916200
2021-08-28,2021 August,2021,August,Saturday,member,1052400
2020-12-05,2020 December,2020,December,Saturday,member,378540
2020-12-12,2020 December,2020,December,Saturday,member,113520
2020-12-19,2020 December,2020,December,Saturday,member,208560
2020-12-26,2020 December,2020,December,Saturday,member,194280
2021-02-06,2021 February,2021,February,Saturday,member,38880
2021-02-13,2021 February,2021,February,Saturday,member,38580
2021-02-20,2021 February,2021,February,Saturday,member,281340
2021-02-27,2021 February,2021,February,Saturday,member,385380
2021-01-02,2021 January,2021,January,Saturday,member,97080
2021-01-09,2021 January,2021,January,Saturday,member,252480
2021-01-16,2021 January,2021,January,Saturday,member,168900
2021-01-23,2021 January,2021,January,Saturday,member,155100
2021-01-30,2021 January,2021,January,Saturday,member,102720
2021-07-03,2021 July,2021,July,Saturday,member,943320
2021-07-10,2021 July,2021,July,Saturday,member,705660
2021-07-17,2021 July,2021,July,Saturday,member,984780
2021-07-24,2021 July,2021,July,Saturday,member,857880
2021-07-31,2021 July,2021,July,Saturday,member,958920
2021-06-05,2021 June,2021,June,Saturday,member,977220
2021-06-12,2021 June,2021,June,Saturday,member,884520
2021-06-19,2021 June,2021,June,Saturday,member,1080780
